Text	Name	2010	2008	2006	2004	2002	2000	1998	1996	1995	10label	08label	06label	04label	02label	00label	98label	96label	95label	
Difficulty using the toilet?	DiffToilet	G030	G030	G030	G030	G030	2775	2477	1951	1927	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	
Ever get help using the toilet?	GetHelpToilet	G031	G031	G031	G031	G031	2778	2480	1954	1930	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Difficulty using a map?	DiffUsingMap	G040	G040	G040	G040	G040	2851	2553	2027	2012	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	
Difficulty preparing a hot meal?	DiffCooking	G041	G041	G041	G041	G041	2860	2562	2036	2021	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	
No hot meal due to health problem?	NoCookBCHealth	G042	G042	G042	G042	G042	2862	2564	2038	2023	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Ever get help preparing a hot meal?	GetHelpCooking	G043	G043	G043	G043	G043	2863	2565	2039	2024	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Difficulty shopping for groceries?	DiffShopping	G044	G044	G044	G044	G044	2865	2567	2041	2026	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	
No groceries because of health prob?	NoShopBCHealth	G045	G045	G045	G045	G045	2867	2569	2043	2028	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Ever get help with groceries?	GetHelpShopping	G046	G046	G046	G046	G046	2868	2570	2044	2029	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Difficulty making phone calls?	DiffPhoning	G047	G047	G047	G047	G047	2870	2572	2046	2031	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	
No phone because of health problem?	NoPhoneBCHealth	G048	G048	G048	G048	G048	2872	2574	2048	2033	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Ever get help making phone calls?	GetHelpPhoning	G049	G049	G049	G049	G049	2873	2575	2049	2034	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Difficulty taking medications?	DiffTakingRX	G050	G050	G050	G050	G050	2875	2577	2051	2036	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	
No take meds b/c of health problem?	NoRXBCHealth	G052	G052	G052	G052	G052	2877	2579	2053	2038	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Ever get help taking medications?	GetHelpTakingRX	G053	G053	G053	G053	G053	2878	2580	2054	2039	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Ever get help with housework?	GetHelpHousework	G058	G058	G058	G058	G058	2915	2617	2091	2076	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Difficulty managing money?	DiffMoney	G059	G059	G059	G059	G059	2916	2618	2093	2099	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	ActYesNo	
Not manage money b/c of health prob?	NoMoneyBCHealth	G060	G060	G060	G060	G060	2917	2619	2094	2100	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Ever get help managing money?	GetHelpMoney	G061	G061	G061	G061	G061	2918	2620	2096	2102	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Self rating of hand strength	HandStrength	G208	G208	G208	N/A	N/A	N/A	N/A	N/A	N/A	Strength	Strength	Strength	Strength	Strength	Strength	Strength	Strength	Strength	
How often become short of breath?	ShortBreathFreq	G209	G209	G209	N/A	N/A	N/A	N/A	N/A	N/A	HowOftenB	HowOftenB	HowOftenB	HowOftenB	HowOftenB	HowOftenB	HowOftenB	HowOftenB	HowOftenB	
How often difficulty with balance?	DiffBalanceFreq	G210	G210	G210	N/A	N/A	N/A	N/A	N/A	N/A	HowOftenB	HowOftenB	HowOftenB	HowOftenB	HowOftenB	HowOftenB	HowOftenB	HowOftenB	HowOftenB	
Current employment status?	EmpStatus	J005M1	J005M1	J005M1	J005M1	J005M1	3365M1	3115M1	2611M1	2626M1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Consider self retired?	IsRetired	J578	J578	J578	J578	J578	3859	3570	3039	3130	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Participate in vigorous exercise?	DoesExercise	N/A	N/A	N/A	N/A	C115	1395	1262	934	934	N/A	N/A	N/A	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	
Cigarettes per day	CigsPerDay	C118	C118	C118	C118	C118	1401	1268	943	943	Value3	Value3	Value3	Value3	Value3	Value3	Value3	Value3	Value3	
Packs of cigs per day	PacksPerDay	C119	C119	C119	C119	C119	1402	1269	944	944	Value2	Value2	Value2	Value2	Value2	Value2	Value2	Value2	Value2	
Days a week with drinking?	DaysWeekDrink	C129	C129	C129	C129	C129	1416	1283	950	950	Value3	Value3	Value3	Value3	Value3	Value3	Value3	Value3	Value3	
Drinks per day when drinking?	DrinksPerDay	C130	C130	C130	C130	C130	1417	1284	951	951	Value2	Value2	Value2	Value2	Value2	Value2	Value2	Value2	Value2	
